28wkSlope,48wkSlope,WinLoss28,WinLoss48,PL
1124.79064,753.9763352,65.38461538,62.85714286,-1477.5
39.85454297,-17.49419236,65.2173913,68.75,92.5
42.1332786,19.07905449,57.14285714,54.54545455,0
485.4064039,542.613439,0,0,0
209.8587165,167.208261,60,59.25925926,-648.75
106.9382868,217.8818389,53.57142857,56.25,275
1033.667214,561.6222047,80.76923077,64.44444444,1562.5
203.0432403,273.6970799,59.09090909,58.82352941,1562.5
-105.5979748,68.5233934,39.28571429,50,-465
-24.76600985,261.3672384,44.44444444,38.29787234,-952.5
29.56280788,27.68766283,54.54545455,52.17391304,60
-338.1171319,-64.05965046,52,58.33333333,27.5
143.3962781,248.4680987,57.14285714,56.66666667,0
-60.5425561,-40.93804277,59.09090909,50,220
5.890257252,-90.65295267,66.66666667,42.85714286,0
-53.05487137,105.1648665,42.85714286,54.54545455,0
286.570197,310.0533272,0,0,0
2.666817187,38.82942412,35.29411765,45.83333333,0
-97.94266557,68.32840317,56.52173913,60,180
37.81985495,55.28061224,80,76.47058824,0
507.9454023,274.7078539,66.66666667,64.28571429,0
17.0135468,378.4490339,50,51.1627907,877.5
17.28243021,97.11246201,63.63636364,66.66666667,0
96.37110016,-20.16798741,35,37.83783784,0
-410.5418719,-236.9398611,33.33333333,39.53488372,1040
-114.9486864,-82.87369735,37.03703704,44.44444444,-90
-65.26340996,4.935817412,42.10526316,42.85714286,0
27.59435687,244.679683,38.88888889,48,0
19.42180624,216.9693595,60,57.89473684,-906.9
83.08634373,-28.4959835,100,57.14285714,0
-61.86439518,-80.90791902,41.66666667,46.42857143,0
34.31450465,58.11953973,55.55555556,53.19148936,235.2
-57.59510126,-12.26457338,37.5,38.0952381,710
-693.8242337,-283.1824658,46.42857143,52.08333333,-1691.25
0,0,0,0,0
-39.7755884,20.30775076,53.84615385,54.54545455,-112.5
38.98125342,79.14880048,61.11111111,64.28571429,0
-59.27476738,108.029201,44.44444444,55.31914894,-495
-49.30788177,42.77241641,60,68,0
-183.9039409,-32.26525185,0,0,0
373.8738369,130.0411149,66.66666667,60.86956522,0
-759.7673782,-397.5738168,32,31.11111111,-570
308.01211,233.3082528,62.5,61.53846154,885
14.5395457,-103.5598947,52.17391304,50,0
-538.7794198,-341.6695614,26.92307692,34.09090909,-160
28.18281336,270.5316435,0,0,245
-214.8748933,21.5106079,37.5,35.71428571,-2389.5
-17.04619321,250.6248203,48.14814815,51.11111111,-268.8
-36.86713191,-13.89125597,52.17391304,54.54545455,0
-104.2200328,-93.69002388,50,41.17647059,0
1124.79064,883.0245875,65.38461538,68.88888889,-1477.5
-583.0213465,-237.7629722,36.36363636,43.24324324,-2435
-69.69896004,-4.849516934,33.33333333,37.5,715
373.6761084,22.59634173,50,47.82608696,1607.5
218.4990394,-79.40227095,33.33333333,34.14634146,3304.5
-1400.170057,-718.4159222,25,33.33333333,-1622.59
-23.99014778,57.97499186,52,50,0
444.8412206,18.00961518,61.53846154,51.1627907,-609.41
-65.43584018,25.72138569,39.28571429,47.91666667,-765.63
-144.6938287,50.73660714,63.15789474,62.85714286,527.5
75.75875753,100.7193742,63.63636364,48.14814815,-2480
-40.45463875,29.16528713,0,22.22222222,0
-282.3446907,111.0528387,56.52173913,64.28571429,605
-96.53735632,-98.84430634,28.57142857,25,0
-253.2840722,97.4671624,40.90909091,45,402.5
56.08648057,154.1914079,0,0,100
-35.60755337,63.26218519,53.57142857,47.91666667,1472.5
-57.09085933,-1.604429006,0,20,0
-84.32573892,-84.66456795,38.46153846,43.47826087,-776.25
1095.683498,768.9209726,69.23076923,63.88888889,2505
61.32156541,-13.76959401,65.2173913,69.6969697,177.5
-6.301097427,77.90134119,50,60,-210.94
-0.092312534,-8.072704624,60,55.55555556,21.88
1018.265941,583.4546651,80.76923077,64.44444444,55
140.8039135,260.2691462,56.52173913,55.88235294,-1816.25
-108.0377668,53.62109205,39.28571429,52.08333333,370
-50.21893815,256.1243487,44.44444444,38.29787234,-260
23.59948002,23.76560465,54.54545455,56.52173913,425
-41.1001642,42.96637538,38.0952381,42.85714286,-737.5
-313.8389436,-83.56369409,50,57.14285714,0
99.10611658,239.7550749,57.14285714,54.83870968,-788.75
7.005043788,37.20489904,37.5,43.47826087,0
-102.2872195,58.77632436,54.54545455,58.97435897,0
511.9321292,289.2980623,71.42857143,66.66666667,2702.5
29.49986316,386.1985725,50,51.1627907,3255
20.43821839,87.77918747,60,65.51724138,0
-143.7024494,42.07562147,57.14285714,60.52631579,0
-265.3516694,-180.7693769,51.85185185,42.55319149,-836.25
-41.58901204,99.01351498,55.55555556,61.29032258,1327.5
133.9542282,-91.0490393,52.63157895,51.42857143,2437.5
-17.29611385,179.1489362,56,61.36363636,610
-370.3776683,-229.9723187,37.5,40.90909091,2340
-66.38683634,4.278929657,42.10526316,44.82758621,332.5
69.16735085,-24.06019323,100,57.14285714,0
-62.10522715,5.048170864,37.5,50,0
15.77657362,57.40078159,55.55555556,53.19148936,-750.4
-45.53981938,-10.4769594,37.5,42.85714286,247.5
-683.56185,-310.8126628,46.42857143,52.08333333,1308.75
0,0,0,0,0
-67.14422551,13.15919453,53.84615385,55.88235294,350
43.10686918,77.36919236,58.82352941,64.28571429,0
-64.98768473,93.71499132,44.44444444,57.44680851,280
-291.5188834,187.9722102,44.44444444,57.44680851,2630
-380.1860974,-184.0202996,40,40.54054054,0
-57.65873016,39.2800152,57.14285714,66.66666667,0
-236.4477285,-338.4037804,37.03703704,46.80851064,743.75
-280.6821292,-23.866967,0,0,0
415.7464423,149.4857251,66.66666667,60.86956522,1805
-338.475977,224.1914405,34.7826087,53.84615385,-915.41
294.1375889,239.5217515,64,62.5,495
-202.0544116,12.85125814,31.25,32.14285714,-658.5
56.30081007,234.880558,44.44444444,51.11111111,-92.4
-101.9882321,-92.54993487,52.63157895,41.17647059,15
12.47605364,23.39984531,53.57142857,66.66666667,56.25
1095.683498,876.3402356,69.23076923,68.88888889,2505
-591.3697318,-255.5294724,31.81818182,42.10526316,-825
-74.08866995,-6.307940729,33.33333333,37.5,0
414.4861795,41.59045267,53.57142857,50,1197.5
194.9083716,-69.46015252,33.33333333,34.14634146,-2258.5
-1379.872427,-744.5101351,28.57142857,35.41666667,3936.79
-33.65045156,59.01683945,54.16666667,51.2195122,0
-370.5818966,-123.9439725,39.13043478,48.64864865,1968.75
120.8429119,66.44702562,40.90909091,43.58974359,-532.5
136.0379037,60.03351607,50,35.71428571,0
-67.03788725,22.82862896,39.28571429,47.91666667,918.13
-39.63875205,22.34347861,33.33333333,30,196.25
-319.9042146,88.63832501,54.16666667,61.9047619,-795
-106.6475096,-100.3742401,25,23.07692308,-692.5
-276.2739464,80.48014818,43.47826087,45,808.75
-67.64915161,-6.108336952,0,20,0
180.7679803,353.7290035,45.45454545,47.05882353,810.59
-85.21141215,-94.89293856,38.46153846,41.30434783,-1550
80.658867,-10.11729266,68.18181818,69.6969697,0
43.42090859,21.59316652,57.14285714,54.54545455,0
-11.85412151,74.70083912,53.84615385,60,54.69
969.6965654,604.3590561,80.76923077,62.22222222,-187.5
75.79638752,248.0336111,56.52173913,54.54545455,0
-108.877942,41.64405124,35.71428571,50,-105
24.80979748,22.11354755,45.45454545,52.17391304,-117.5
232.7346743,302.0629342,0,0,-5475
-298.3723317,-101.4619518,52.17391304,55.88235294,0
-11.92255063,-30.33027573,62.5,52.5,1032.5
-45.05199781,-101.5643183,40,33.33333333,-1037
-77.78667214,96.18147525,40,52.17391304,-170
349.2186645,287.1936062,0,0,0
11.58649973,35.41442195,37.5,43.47826087,0
-258.5399562,-106.4632409,52.63157895,58.82352941,-187.5
84.64696223,-24.18693009,36.84210526,36.11111111,0
-140.6308155,34.3549175,59.09090909,60.52631579,215
161.7662151,-83.26978398,57.89473684,54.28571429,1200
-9.545703339,176.7867998,56,59.09090909,-910
-327.7640941,-223.1589231,41.66666667,43.18181818,730
-55.19704433,13.06909466,47.36842105,44.82758621,2685
53.78968254,-19.46102909,100,57.14285714,0
-67.81540777,-0.396358011,37.5,46.66666667,0
-86.31294472,-22.63691381,46.42857143,46.80851064,2350
-660.9496442,-335.6004396,42.85714286,50,-343.75
0,0,0,0,0
-95.21072797,7.965289839,57.69230769,57.14285714,677.5
49.90763547,75.44100087,56.25,62.96296296,0
-68.51669403,81.28202345,44.44444444,57.44680851,45
-57.34756431,36.74185845,53.84615385,65.2173913,0
-173.6234264,-41.26085541,0,0,-445
433.6925287,166.32151,66.66666667,58.69565217,-1062.5
-751.9020252,-436.1029092,30.76923077,31.11111111,-930
280.7450739,243.7249647,65.38461538,65,743.75
-3.081554461,-104.7476118,43.47826087,44.44444444,-810
-494.3212917,-363.6360182,26.92307692,34.09090909,-440
-201.952567,4.163673469,31.25,31.03448276,-16.8
98.44317734,210.8557675,44.44444444,51.11111111,-1209.6
-99.26382047,-33.49109857,52.17391304,54.28571429,-352.5
43.8098659,21.61650564,53.57142857,66.66666667,481.25
1078.849891,866.8832772,69.23076923,68.88888889,242.5
-78.00218938,-7.690919453,33.33333333,37.5,0
188.0779557,-62.77696483,30.43478261,35,0
-1323.004056,-763.1975521,28.57142857,35.41666667,1434.99
-404.2538998,-138.5977529,40.90909091,47.22222222,0
111.8944992,75.02415328,43.47826087,43.58974359,1610
385.0211357,55.34123046,61.53846154,53.48837209,-2833.21
122.1845922,64.57066869,50,35.71428571,0
-61.81383689,20.80966403,39.28571429,47.91666667,58.75
-84.00759442,41.99949794,63.15789474,65.71428571,1531.25
24.64319923,97.76161528,63.63636364,50,1621.25
-38.58271757,15.20279255,25,27.27272727,-10
-353.2594417,69.71368867,54.16666667,61.9047619,260
57.17911877,110.5792716,0,0,0
-72.38916256,114.9907729,0,0,-3052.5
-70.34482759,-8.757598784,33.33333333,40,910
127.0429584,354.5530335,50,48.57142857,740.61
98.39600438,-6.53728832,71.42857143,69.6969697,0
383.3004926,508.5666793,0,0,0
-15.08350027,72.01263678,57.69230769,62.22222222,570.31
-4.283990148,-11.10778495,56,53.33333333,-289.06
-7.454844007,69.0295267,42.85714286,47.91666667,-140
-101.6208265,233.8243595,44.44444444,40.42553191,1607.5
194.4649699,275.9946266,0,0,-4847.5
-279.9500547,-120.8422438,52.17391304,57.57575758,0
24.07327586,223.5210866,53.33333333,51.61290323,1340
10.56793103,33.45799284,40,43.47826087,0
-99.51423098,50.9932018,60.86956522,61.53846154,3031.25
-233.7130542,-107.0288754,57.89473684,60,3031.25
26.08271757,72.00390795,55.55555556,62.96296296,0
82.80103996,-24.24962006,33.33333333,34.28571429,0
71.38752053,51.60714286,69.23076923,55.81395349,540
-37.78975096,81.77675858,52.94117647,58.06451613,0
190.2965928,-70.2941815,63.15789474,54.28571429,768.75
6.127531472,173.008033,56,61.36363636,330
-284.9480022,-214.725901,40,40.90909091,-200
-51.75355774,18.57780612,42.10526316,41.37931034,-1762.5
17.31314997,225.0539595,36.84210526,48.14814815,744.3
-27.51094691,-59.55601389,41.66666667,42.30769231,0
-72.63888889,-5.884851281,37.5,50,0
-19.35101259,53.59278116,51.85185185,55.31914894,343.4
-19.44444444,-6.591673904,41.17647059,45.45454545,167.5
-34.24500547,0.300898285,50,46.80851064,3031.25
-619.6284893,-351.3242917,46.42857143,52.08333333,3343.75
-121.1391626,0.915246418,53.84615385,55.55555556,-787.5
-361.3902573,-193.114416,36.84210526,41.66666667,-1890
-112.2523262,-330.5143427,44.44444444,46.80851064,881.25
-163.0569239,-44.49033869,0,0,655
-293.6952655,-49.21433999,0,0,0
446.7788725,178.8779581,62.96296296,58.69565217,-845
-737.9228243,-457.0739253,26.92307692,31.11111111,-370
256.8517378,246.9198464,62.96296296,62.5,-687.5
168.9696223,237.4356817,0,0,1450
132.0775342,195.071167,42.85714286,48.88888889,-1251.59
-130.5795019,-43.49354103,50,54.28571429,0
-67.94061303,-85.34275944,52.63157895,42.85714286,215
-16.20826492,-52.93231654,31.25,34.61538462,-37.5
1032.828407,852.1906209,65.38461538,66.66666667,-2282.5
-609.8891626,-280.293096,39.13043478,44.73684211,270
-81.43951834,-8.998453105,33.33333333,37.5,0
503.0774494,85.43299501,53.57142857,48.93617021,4212.5
161.2693952,-56.45653441,31.81818182,35.8974359,0
-40.12896825,55.37125488,50,53.65853659,-398.75
-420.9616174,-151.1866316,38.0952381,45.71428571,0
309.1119568,63.13968139,59.25925926,53.48837209,-1459.61
-37.3241653,46.990203,68.42105263,65.71428571,2781.25
33.10515873,107.1756947,66.66666667,51.85185185,3343.75
-37.20717022,7.769824685,25,27.27272727,0
-360.5425561,54.79279744,54.16666667,62.79069767,1670
-84.39518336,-88.50548198,40,33.33333333,4640
60.93390805,113.737652,0,0,0
-158.7315271,87.82294833,0,0,0
-60.08141762,59.34338363,46.42857143,47.91666667,-1820
74.58621511,356.2763347,52.17391304,50,725.21
22.35221675,9.594550586,45.45454545,43.24324324,0
971.6126163,785.8035714,69.23076923,64.1025641,522.5
890.1830186,656.1223811,80.76923077,64.44444444,746.25
-15.87027915,66.59303083,46.42857143,50,110
-136.1213738,217.6264655,44.44444444,40.42553191,-1900
23.91762452,19.17634607,50,52.38095238,0
-91.30815545,9.189236865,36.84210526,45.45454545,0
-70.33812261,-103.2322243,57.14285714,45.45454545,1605.5
-110.2798303,83.68825988,37.5,47.82608696,0
469.9596333,283.6345256,0,0,2485
-178.7428161,-97.34877063,57.89473684,60,3281.25
480.0294198,324.1908652,70,66.66666667,-2080
58.29296661,386.5835323,44.44444444,51.1627907,645
28.61247947,66.64269431,55.55555556,61.53846154,0
92.15517241,-23.26991967,36.84210526,37.14285714,1445
48.82389163,-3.549582067,28.57142857,36.66666667,-417.5
237.6847291,-48.592868,63.15789474,54.28571429,2887.5
-82.97824302,-92.67897851,37.03703704,44.44444444,30
-32.86808976,18.514302,38.88888889,42.85714286,0
28.01211823,217.3061105,36.84210526,48.14814815,0
-1.373152709,-16.74690621,60,44.44444444,-1305
-15.40024631,-51.53224056,41.66666667,40,0
-29.44712644,49.7031155,48.14814815,55.31914894,-280
-10.8347017,-6.355297438,38.88888889,43.47826087,-722.5
-84.17077176,51.15365827,40.74074074,57.44680851,-540
-338.6015326,-198.220799,40,44.44444444,2970
-53.11815818,-322.2626737,44.44444444,44.68085106,-325
460.3961412,190.5876845,61.53846154,57.77777778,0
-700.3530378,-468.088363,23.07692308,28.88888889,-830
-363.5209715,108.9476759,39.13043478,51.28205128,-2558.7
-33.57142857,-105.5562039,47.82608696,43.24324324,-962.5
-470.9140668,-391.6071429,26.92307692,31.81818182,-1790
188.3661741,215.9919127,0,0,-4850
-135.5297482,-0.489144594,29.41176471,32.25806452,-2078.4
167.1532266,185.3360524,46.42857143,48.88888889,1310.4
-154.9404762,-53.31849761,47.61904762,54.28571429,0
